Speed in km/h // number of stops // makeStop(String name, int zoneNumber, double longitude, double latitude) 
100
10
Ballerup;1;5;35
Malmparken;2;20;25
Skovlunde;3;10;55
Herlev;1;5;10
Husum;2;25;15
Islev;4;25;55
Flintholm;3;30;35
Valby;4;40;50
Enghave;4;45;35
Vesterport;4;45;20
number of StopLinks // StopLink(String type, String Line, Stop fromStop, Stop toStop, Stop towards)
24
Train;B;4;1;2
Train;B;1;4;4
Train;B;1;2;2
Train;B;2;1;4
Train;C;4;5;10
Train;C;5;4;4
Train;C;2;5;4
Train;C;5;2;10
Train;C;7;2;4
Train;C;2;7;10
Train;C;7;10;10
Train;C;10;7;4
Bus;1;4;2;2
Bus;1;2;4;4
Bus;2;3;7;7
Bus;2;7;3;3
Bus;3;8;9;10
Bus;3;9;8;8
Bus;3;9;10;10
Bus;3;10;9;8
Bus;4;3;6;8
Bus;4;6;3;3
Bus;4;6;8;8
Bus;4;8;6;3
